,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Hydrogenedentes;CandidatusHydrogenedens,59,22,46,17,52,59,3,3,3,8,52,32,11,22,52,11,30,54,7,26,25,21,54,60,8,7,7,2,17,3,21,5,5,19,6,9,57,54,27,58,36
Bacteria;Ignavibacteriae;Ignavibacteria,54,22,45,16,52,57,3,3,4,8,22,31,11,22,54,9,27,53,5,26,24,21,52,60,8,7,7,3,17,3,21,4,5,17,6,9,54,53,28,57,36
Bacteria;Latescibacteria;Latescibacteria_genera_incertae_sedis,56,22,46,17,53,59,4,3,4,8,53,31,11,22,53,10,31,54,7,25,25,21,51,58,8,7,6,3,17,3,21,5,5,19,6,9,57,54,27,60,36
Bacteria;Lentisphaerae;Lentisphaeria,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,24,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,50,29,60,36
Bacteria;Lentisphaerae;Oligosphaeria,59,22,46,17,53,59,4,3,4,8,53,32,11,22,56,12,31,54,7,26,25,21,53,60,8,7,7,3,17,3,21,5,5,19,6,9,60,53,29,56,36
Bacteria;Lentisphaerae;__,60,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Lentisphaerae;unclassified_Lentisphaerae,60,22,46,17,53,60,4,3,4,8,51,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Microgenomates;Microgenomates_genera_incertae_sedis,60,22,46,17,52,60,4,2,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,20,5,5,18,6,8,60,54,29,60,36
Bacteria;Nitrospirae;Nitrospira,60,22,46,17,53,60,4,3,3,8,9,32,11,22,57,12,31,54,7,26,25,21,54,60,7,6,7,3,16,2,21,5,5,14,6,9,60,54,29,60,36
Bacteria;Omnitrophica;Omnitrophica_genera_incertae_sedis,60,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Parcubacteria;Parcubacteria_genera_incertae_sedis,52,22,45,17,50,41,4,2,1,8,13,30,11,22,46,12,30,53,7,24,25,20,54,49,7,5,5,1,16,3,19,4,5,5,4,2,57,41,25,60,35
Bacteria;Planctomycetes;Phycisphaerae,56,22,46,15,50,49,4,3,4,8,25,31,10,21,48,12,31,54,6,26,25,19,53,57,8,7,7,2,17,3,21,5,5,9,5,8,59,52,22,58,36
Bacteria;Planctomycetes;Planctomycetia,2,0,38,6,5,0,0,0,0,0,9,5,6,5,1,4,5,4,2,1,9,5,15,6,2,1,0,0,1,0,2,1,0,0,0,0,9,6,1,15,2
Bacteria;Planctomycetes;__,38,16,45,15,34,28,1,3,4,7,45,32,11,22,40,12,29,41,5,24,23,18,47,43,8,6,6,1,16,2,14,5,3,17,5,8,36,47,21,55,26
Bacteria;Planctomycetes;unclassified_Planctomycetes,55,22,46,17,51,42,3,3,4,8,53,32,11,22,50,12,31,48,7,24,25,21,54,54,8,7,6,1,16,3,20,5,5,19,4,9,47,54,23,56,33
Bacteria;Proteobacteria;Alphaproteobacteria,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,1,1
Bacteria;Proteobacteria;Deltaproteobacteria,1,3,35,2,5,0,0,0,0,0,2,3,0,8,0,0,2,2,0,2,2,2,0,9,3,0,1,0,8,1,0,1,0,0,0,1,9,1,0,7,1
Bacteria;Proteobacteria;Epsilonproteobacteria,40,21,43,14,53,60,4,3,3,8,24,30,8,22,55,10,30,52,6,25,21,20,40,59,8,7,7,3,16,3,19,5,5,18,5,8,54,31,28,44,36
Bacteria;Proteobacteria;Gammaproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Oligoflexia,60,22,46,17,53,60,4,3,4,8,39,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Proteobacteria;__,0,0,7,0,1,0,0,0,2,0,0,0,0,1,0,1,3,4,0,0,0,0,0,6,3,0,2,0,9,1,0,1,0,1,1,0,4,0,2,0,2
Bacteria;Proteobacteria;unclassified_Proteobacteria,60,22,46,17,53,60,4,3,4,8,50,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
