,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Bacteroidetes;__,93.65079365,100,97.82608696,94.11764706,71.69811321,95,100,66.66666667,50,37.5,100,84.375,90.90909091,40.90909091,84.21052632,83.33333333,74.19354839,62.96296296,100,84.61538462,80,52.38095238,87.03703704,38.33333333,25,85.71428571,57.14285714,100,17.64705882,0,66.66666667,40,100,84.21052632,83.33333333,55.55555556,80.55555556,92.59259259,86.20689655,90,75
Bacteria;Bacteroidetes;unclassified_Bacteroidetes,30.15873016,0,4.347826087,17.64705882,9.433962264,3.333333333,0,33.33333333,25,0,43.39622642,15.625,0,0,1.754385965,0,0,0,0,7.692307692,0,0,0,1.666666667,0,0,0,0,0,0,4.761904762,0,20,63.15789474,0,22.22222222,15.74074074,31.48148148,0,8.333333333,8.333333333
Bacteria;CandidatusSaccharibacteria;Saccharibacteria_genera_incertae_sedis,3.174603175,0,4.347826087,5.882352941,0,8.333333333,0,33.33333333,50,0,47.16981132,0,9.090909091,18.18181818,14.03508772,41.66666667,0,0,0,0,12,0,7.407407407,0,50,28.57142857,42.85714286,0,23.52941176,0,0,0,0,84.21052632,50,55.55555556,0,1.851851852,0,0,0
Bacteria;Chlamydiae;Chlamydiia,0,0,0,0,0,25,0,66.66666667,50,0,0,0,0,0,26.31578947,8.333333333,0,3.703703704,0,0,0,0,12.96296296,0,87.5,85.71428571,85.71428571,0,94.11764706,66.66666667,0,80,0,89.47368421,50,100,1.851851852,9.259259259,34.48275862,0,0
Bacteria;Chlorobi;Chlorobia,9.523809524,0,0,17.64705882,7.547169811,5,0,0,0,0,0,9.375,0,0,5.263157895,0,0,5.555555556,14.28571429,0,0,0,1.851851852,0,0,0,0,33.33333333,0,33.33333333,0,20,0,0,0,0,9.259259259,14.81481481,3.448275862,3.333333333,5.555555556
Bacteria;Chloroflexi;Anaerolineae,6.349206349,4.545454545,4.347826087,5.882352941,9.433962264,13.33333333,100,0,0,0,83.01886792,9.375,45.45454545,0,7.01754386,66.66666667,3.225806452,3.703703704,14.28571429,11.53846154,40,0,40.74074074,1.666666667,12.5,0,0,33.33333333,0,0,4.761904762,20,0,15.78947368,0,0,9.259259259,5.555555556,0,5,0
Bacteria;Chloroflexi;Caldilineae,0,0,0,0,0,10,0,0,0,0,3.773584906,0,0,0,7.01754386,0,0,0,0,3.846153846,0,0,0,0,0,0,0,0,5.882352941,0,0,20,0,21.05263158,0,0,10.18518519,1.851851852,10.34482759,0,0
Bacteria;Chloroflexi;Chloroflexia,3.174603175,0,0,0,13.20754717,31.66666667,0,33.33333333,75,25,49.05660377,0,27.27272727,0,19.29824561,41.66666667,6.451612903,7.407407407,0,19.23076923,24,14.28571429,12.96296296,5,12.5,0,0,66.66666667,23.52941176,33.33333333,0,40,0,36.84210526,50,11.11111111,19.44444444,29.62962963,24.13793103,8.333333333,0
Bacteria;Chloroflexi;Dehalococcoidia,0,0,0,0,0,0,0,0,0,0,3.773584906,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Chloroflexi;Ktedonobacteria,6.349206349,0,2.173913043,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,4.761904762,0,1.666666667,0,0,14.28571429,0,0,0,0,40,0,26.31578947,16.66666667,22.22222222,2.777777778,0,0,0,33.33333333
Bacteria;Chloroflexi;Thermomicrobia,0,0,2.173913043,0,0,0,0,33.33333333,50,0,11.32075472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.57894737,0,0,0,0,0,0,0
Bacteria;Chloroflexi;__,30.15873016,0,2.173913043,5.882352941,13.20754717,25,75,33.33333333,25,0,15.09433962,25,27.27272727,0,19.29824561,50,22.58064516,11.11111111,14.28571429,23.07692308,32,9.523809524,25.92592593,10,0,0,14.28571429,0,5.882352941,0,0,20,0,31.57894737,33.33333333,22.22222222,41.66666667,22.22222222,10.34482759,11.66666667,16.66666667
Bacteria;Chloroflexi;unclassified_Chloroflexi,25.3968254,0,0,23.52941176,26.41509434,28.33333333,50,0,0,0,3.773584906,37.5,9.090909091,18.18181818,29.8245614,8.333333333,48.38709677,14.81481481,42.85714286,30.76923077,12,14.28571429,5.555555556,10,0,0,14.28571429,66.66666667,5.882352941,0,4.761904762,20,60,10.52631579,0,0,53.7037037,20.37037037,31.03448276,33.33333333,11.11111111
