,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Verrucomicrobia;Opitutae;unclassified_Opitutae,0,0,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089912281,0,0.300925926,0,0,0,0,0
Bacteria;Verrucomicrobia;Spartobacteria;Spartobacteria_genera_incertae_sedis,0.218253968,0.28219697,0.024456522,0.056372549,0.240566038,0.34375,0,0.111111111,0.03125,0.078125,0.002358491,0.013020833,0,0.028409091,0.246345029,0,0.02688172,0.209876543,0.035714286,0.108974359,0,0.107142857,0.100308642,0.564583333,0.15625,0,0.261904762,0.861111111,0.365196078,0.083333333,0.222222222,0.075,0.458333333,0.230263158,0.180555556,0.231481481,0.420910494,0.075617284,0.32183908,0.052083333,0.631944444
Bacteria;Verrucomicrobia;Spartobacteria;Terrimicrobium,0,0,0.000905797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013157895,0,0.046296296,0,0,0,0,0
Bacteria;Verrucomicrobia;Spartobacteria;__,0,0,0.001811594,0,0,0,0,0.069444444,0,0,0.020440252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857143,0,0,0,0,0,0,0,0.13377193,0,0.12962963,0,0,0,0,0
Bacteria;Verrucomicrobia;Spartobacteria;unclassified_Spartobacteria,0,0,0,0,0,0,0,0,0.59375,0,0.01336478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135416667,0.476190476,0.261904762,0,0.056372549,0,0,0.275,0,0.166666667,0.076388889,0.199074074,0,0,0,0,0
Bacteria;Verrucomicrobia;Subdivision3;Limisphaera,0.373677249,0.054924242,0,0.110294118,3.48427673,0.625,0.03125,0,0,0.369791667,0,0.104166667,0.272727273,0.037878788,0.340643275,0.329861111,0.071236559,0.19367284,0.083333333,0.112179487,0.29,0.168650794,0.641203704,0.702777778,0.208333333,0,0.095238095,0.638888889,0.039215686,1.902777778,0.436507937,0.125,1.9,0,1.326388889,0,0.642746914,0.19367284,0.399425287,0.059722222,0.18287037
Bacteria;Verrucomicrobia;Subdivision3;Subdivision3_genera_incertae_sedis,0,0,0.019021739,0,0,0,0,0.388888889,0.125,0,0.323899371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005208333,1.44047619,0.077380952,0,0.044117647,0,0,0,0,1.309210526,0,0.958333333,0,0,0,0,0
Bacteria;Verrucomicrobia;Subdivision3;__,0.115740741,0,0,0.068627451,0.078616352,0.079861111,0,0,0,0.130208333,0,0.03125,0.053030303,0,0.06505848,0.045138889,0.045698925,0.05787037,0.041666667,0.091346154,0.028333333,0.01984127,0.160493827,0.366666667,0.098958333,0,0.041666667,0,0,0.930555556,0.067460317,0,0.291666667,0.010964912,0.034722222,0.009259259,0.217592593,0.027777778,0.061781609,0.021527778,0.041666667
Bacteria;Verrucomicrobia;Subdivision3;unclassified_Subdivision3,0.087301587,0,0,0.014705882,0.069968553,0.088888889,0,0,0,0.083333333,0,0.020833333,0,0,0.013888889,0,0,0.041666667,0,0.030448718,0,0.047619048,0.063271605,0.36875,0.197916667,0,0.05952381,0.083333333,0.017156863,0.486111111,0.073412698,0,0.091666667,0,0.048611111,0,0.172453704,0.013117284,0.122126437,0.018055556,0.056712963
Bacteria;Verrucomicrobia;Subdivision5;Subdivision5_genera_incertae_sedis,0.017857143,0.007575758,0,0.014705882,0.000786164,0.002083333,0,0,0,0.005208333,0,0.001302083,0.018939394,0.005681818,0.006578947,0.003472222,0.14516129,0.007716049,0.011904762,0.033653846,0,0,0.007716049,0.009722222,0,0,0.017857143,0,0,0,0,0,0,0,0,0,0.032407407,0.031635802,0,0.029861111,0.001157407
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0.071428571,0.143939394,0.707427536,0.034313725,0.201257862,0.140277778,0,0.180555556,0.020833333,0,0.474842767,0.03515625,0,0.009469697,0.244883041,0,0.061827957,1.388117284,0.202380952,0.025641026,0,0.023809524,0,0.035416667,0.322916667,0.029761905,0.041666667,0.027777778,0,0,0.011904762,0,0.016666667,0.260964912,0.090277778,0.12962963,0.114583333,0.075617284,0.182471264,0.031944444,0.631944444
Bacteria;Verrucomicrobia;__;__,0.208994709,0.384469697,0.018115942,0.039215686,0.355345912,0.244444444,0,0.027777778,0,0.057291667,0.10927673,0.088541667,0.09469697,0.068181818,0.136695906,0.100694444,0.091397849,0.094907407,0.125,0.182692308,0.133333333,0.025793651,0.078703704,0.074305556,0.234375,0.726190476,0.071428571,0.180555556,0.090686275,0.055555556,0.05952381,0.041666667,0.183333333,0.083333333,0.090277778,0.115740741,0.191743827,0.202932099,0.122126437,0.036111111,0.03587963
Bacteria;Verrucomicrobia;unclassified_Verrucomicrobia;,0.027116402,0.090909091,0,0.029411765,0.010220126,0.043055556,0,0,0,0.046875,0,0.033854167,0,0.001893939,0.029239766,0.006944444,0.022849462,0.043209877,0.029761905,0.033653846,0,0.055555556,0.028549383,0.011111111,0.28125,0.208333333,0.029761905,0.041666667,0,0,0.021825397,0.066666667,0.1,0,0.083333333,0,0.0625,0.010802469,0.030172414,0.014583333,0.127314815
Bacteria;__;__;__,6.869708995,3.873106061,2.388586957,6.703431373,3.38836478,8.248611111,5.072916667,21.18055556,27.875,1.723958333,31.32704403,13.10546875,2.295454545,1.613636364,6.243421053,3.322916667,3.799731183,13.96527778,3.613095238,6.280448718,2.925,1.873015873,8.594135802,15.05277778,63.52083333,44.29166667,52.36309524,6.638888889,56.57352941,41.55555556,3.382936508,59.58333333,5.216666667,13.87280702,46.09722222,20.9212963,8.207175926,11.98225309,6.846264368,11.90486111,10.29398148
Bacteria;candidatedivisionWPS-1;WPS-1_genera_incertae_sedis;,0.066137566,0,0.010869565,0.019607843,0.199685535,0.247222222,0.010416667,0.555555556,0.177083333,0.140625,0.062106918,0.03125,0,0.020833333,0.14254386,0,0.033602151,0.233796296,0.023809524,0.044871795,0.015,0.079365079,0.199845679,0.354861111,1.036458333,0.267857143,0.392857143,0.402777778,0.208333333,0.236111111,0.192460317,0.5,0.45,0.629385965,0.708333333,0.449074074,0.445601852,0.053240741,0.136494253,0.017361111,0.300925926
Bacteria;candidatedivisionWPS-2;WPS-2_genera_incertae_sedis;,0.080026455,0,0,0,0.160377358,0.011111111,0,0.055555556,0.010416667,0.098958333,0,0.0078125,0,0.005681818,0.015350877,0,0,0.552469136,0,0.004807692,0.006666667,0.011904762,0.229166667,0.126388889,0.052083333,0.196428571,0.035714286,0.027777778,0.004901961,0.361111111,0.091269841,0.075,0.025,0.103070175,0.111111111,0.101851852,0.153935185,0.027006173,0.014367816,0.004166667,1.46875
Bacteria;unclassified_Bacteria;;__,1.493386243,1.056818182,0.737318841,0.590686275,1.156446541,1.427777778,0.197916667,13.70833333,13.22916667,0.546875,0.16745283,0.77734375,0.147727273,0.259469697,1.563596491,0.243055556,0.456989247,1.322530864,0.946428571,0.894230769,0.131666667,0.545634921,0.994598765,4.202083333,0.65625,0.18452381,2.06547619,0.833333333,0.551470588,1.972222222,0.787698413,0.8,1.341666667,6.853070175,0.9375,11.9537037,1.546682099,1.652777778,1.337643678,0.611111111,2.273148148
