,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae,92.06349206,45.45454545,0,29.41176471,92.45283019,93.33333333,100,0,0,87.5,3.773584906,78.125,100,68.18181818,98.24561404,100,87.09677419,83.33333333,42.85714286,57.69230769,100,80.95238095,100,71.66666667,12.5,42.85714286,28.57142857,100,5.882352941,33.33333333,95.23809524,40,100,15.78947368,33.33333333,0,90.74074074,94.44444444,93.10344828,91.66666667,83.33333333
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;__,79.36507937,68.18181818,95.65217391,52.94117647,92.45283019,95,100,100,100,100,98.11320755,65.625,100,72.72727273,91.22807018,100,51.61290323,64.81481481,42.85714286,50,100,90.47619048,98.14814815,81.66666667,87.5,100,57.14285714,100,70.58823529,66.66666667,85.71428571,80,100,100,100,100,87.03703704,88.88888889,93.10344828,45,63.88888889
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unclassified_Rhizobiales,1.587301587,0,0,0,3.773584906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,1.666666667,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,73.01587302,90.90909091,34.7826087,70.58823529,64.1509434,90,100,66.66666667,50,75,94.33962264,68.75,100,68.18181818,85.96491228,91.66666667,80.64516129,42.59259259,57.14285714,84.61538462,96,52.38095238,94.44444444,46.66666667,50,100,85.71428571,100,76.47058824,33.33333333,52.38095238,80,60,84.21052632,83.33333333,55.55555556,83.33333333,98.14814815,82.75862069,71.66666667,22.22222222
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae,90.47619048,31.81818182,58.69565217,47.05882353,90.56603774,96.66666667,25,100,75,100,73.58490566,56.25,100,50,96.49122807,66.66666667,32.25806452,96.2962963,85.71428571,50,84,85.71428571,79.62962963,75,62.5,57.14285714,57.14285714,100,35.29411765,66.66666667,80.95238095,60,100,94.73684211,100,100,78.7037037,96.2962963,96.55172414,38.33333333,88.88888889
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Reyranella,47.61904762,27.27272727,0,5.882352941,60.37735849,76.66666667,0,33.33333333,50,50,0,12.5,27.27272727,40.90909091,68.42105263,50,12.90322581,38.88888889,0,15.38461538,32,33.33333333,38.88888889,30,0,0,14.28571429,100,5.882352941,33.33333333,47.61904762,20,60,84.21052632,33.33333333,44.44444444,48.14814815,33.33333333,68.96551724,18.33333333,22.22222222
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae,30.15873016,22.72727273,0,47.05882353,41.50943396,45,50,33.33333333,0,75,20.75471698,9.375,54.54545455,31.81818182,35.0877193,66.66666667,48.38709677,33.33333333,14.28571429,11.53846154,48,42.85714286,42.59259259,30,0,14.28571429,0,33.33333333,11.76470588,33.33333333,42.85714286,0,80,89.47368421,16.66666667,66.66666667,52.77777778,55.55555556,24.13793103,45,36.11111111
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;__,55.55555556,59.09090909,4.347826087,17.64705882,66.03773585,66.66666667,50,100,25,25,5.660377358,9.375,72.72727273,45.45454545,52.63157895,50,48.38709677,38.88888889,28.57142857,11.53846154,72,38.0952381,70.37037037,36.66666667,12.5,14.28571429,14.28571429,66.66666667,5.882352941,33.33333333,52.38095238,20,60,78.94736842,33.33333333,88.88888889,56.48148148,33.33333333,62.06896552,23.33333333,44.44444444
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified_Rhodospirillales,52.38095238,4.545454545,0,5.882352941,60.37735849,73.33333333,0,0,0,75,0,21.875,36.36363636,31.81818182,56.14035088,50,9.677419355,53.7037037,28.57142857,38.46153846,36,38.0952381,61.11111111,55,12.5,0,14.28571429,100,5.882352941,33.33333333,52.38095238,20,100,21.05263158,33.33333333,11.11111111,63.88888889,51.85185185,68.96551724,18.33333333,72.22222222
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae,0,0,0,0,0,0,0,33.33333333,50,0,35.8490566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31578947,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;__,0,0,2.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;unclassified_Rickettsiales,0,0,0,0,0,0,0,0,0,0,11.32075472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,11.11111111,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11;CandidatusPelagibacter,0,0,2.173913043,0,0,0,0,0,0,0,3.773584906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae,7.936507937,0,0,5.882352941,15.09433962,10,0,0,0,0,0,3.125,0,4.545454545,10.52631579,0,0,1.851851852,0,0,0,9.523809524,7.407407407,5,12.5,0,0,33.33333333,0,33.33333333,9.523809524,0,20,10.52631579,0,11.11111111,6.481481481,1.851851852,3.448275862,5,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae,55.55555556,27.27272727,0,5.882352941,64.1509434,68.33333333,0,0,0,50,0,21.875,0,54.54545455,84.21052632,0,48.38709677,29.62962963,42.85714286,50,0,47.61904762,31.48148148,48.33333333,0,0,0,100,5.882352941,33.33333333,38.0952381,20,80,15.78947368,33.33333333,0,35.18518519,62.96296296,75.86206897,68.33333333,13.88888889
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,49.20634921,18.18181818,0,5.882352941,24.52830189,36.66666667,0,100,100,12.5,100,6.25,0,27.27272727,49.12280702,0,3.225806452,3.703703704,0,23.07692308,0,9.523809524,3.703703704,6.666666667,0,0,0,0,0,0,4.761904762,0,20,100,0,100,33.33333333,18.51851852,44.82758621,8.333333333,5.555555556
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;__,3.174603175,0,0,0,0,1.666666667,0,33.33333333,75,12.5,94.33962264,0,0,0,0,0,0,20.37037037,0,0,0,0,11.11111111,10,0,0,0,0,0,0,0,0,0,68.42105263,33.33333333,44.44444444,15.74074074,1.851851852,3.448275862,1.666666667,13.88888889
