,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Elusimicrobia;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308642,0,0,0
Bacteria;Elusimicrobia;unclassified_Elusimicrobia,0.03042328,0,0,0.009803922,0.020440252,0.033333333,0,0.083333333,0,0.020833333,0,0,0.011363636,0,0.015350877,0.017361111,0,0.015432099,0,0.006410256,0.008333333,0.021825397,0.00617284,0.036805556,0,0.011904762,0,0.194444444,0.029411765,0,0.009920635,0,0.008333333,0.026315789,0,0.013888889,0.046296296,0.005401235,0.018678161,0.000694444,0.017361111
Bacteria;Fibrobacteres;Chitinivibrionia,0.000661376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Fibrobacteres;Fibrobacteria,0,0,0.001811594,0,0,0,0,0,0,0,0.002358491,0,0,0,0,0,0,0,0,0,0,0,0,0.000694444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli,0.501322751,0.287878788,0.423913043,2.049019608,0.257075472,0.288194444,1.364583333,4.791666667,12.25,0.927083333,0.828616352,1.55859375,1.875,1.71969697,0.228070175,1.746527778,1.147849462,2.692901235,1.636904762,2.77724359,1.666666667,0.236111111,1.334876543,4.955555556,0.6875,0.761904762,1.089285714,0.347222222,2.352941176,1.319444444,0.345238095,0.583333333,3.066666667,5.372807018,1.236111111,4.694444444,1.001157407,0.172839506,0.324712644,1.773611111,1.925925926
Bacteria;Firmicutes;Clostridia,0.312830688,0.121212121,0.488224638,0.549019608,0.089622642,0.163194444,0.9375,0.208333333,0,0.098958333,0.176886792,2.25390625,0.15530303,1.392045455,0.346491228,0.083333333,1.595430108,4.529320988,0.5,1.262820513,0.506666667,0.031746032,0.201388889,0.842361111,0.161458333,0.202380952,1.482142857,0.013888889,0.169117647,0.208333333,0.19047619,0.1,0.416666667,0.234649123,0.236111111,1.032407407,2.515817901,8.62654321,0.04454023,1.611805556,3.211805556
Bacteria;Firmicutes;Erysipelotrichia,0.001322751,0,0.000905797,0.00245098,0.002358491,0.0125,0.03125,0,0,0.005208333,0,0.0546875,0.003787879,0.041666667,0.032894737,0.006944444,0.033602151,0.112654321,0.029761905,0.022435897,0.061666667,0.009920635,0.020833333,0.027777778,0,0,0,0.013888889,0.012254902,0,0.003968254,0,0.033333333,0,0,0.037037037,0.065200617,0.175154321,0.00862069,0.032638889,0.146990741
Bacteria;Firmicutes;Negativicutes,0.003968254,0.001893939,0,0.071078431,0.002358491,0.000694444,0,0,0.270833333,0.010416667,0.025157233,0.06640625,0,0.009469697,0.094298246,0,0.028225806,0.081018519,0.101190476,0.232371795,0,0,0.00308642,0.079861111,0.015625,0.053571429,0.029761905,0.013888889,0.007352941,0,0.003968254,0.075,0.291666667,0.166666667,0.027777778,0.013888889,0.03742284,0.005401235,0.002873563,0.104861111,0.041666667
Bacteria;Firmicutes;__,0.021164021,0.005681818,0.014492754,0.328431373,0.052672956,0.102083333,0.21875,0,0.166666667,0.0625,0.044811321,0.059895833,0.053030303,0.051136364,0.066520468,0.055555556,1.129032258,0.645833333,0.083333333,0.286858974,0.11,0.03968254,0.144290123,0.084027778,0.109375,0.005952381,0.279761905,0.083333333,0.031862745,0.097222222,0.023809524,0.016666667,0.116666667,0.054824561,0.048611111,0.060185185,1.428626543,0.087962963,0.047413793,0.68125,0.363425926
Bacteria;Firmicutes;unclassified_Firmicutes,0.002645503,0.003787879,0,0,0.010220126,0.004861111,0.020833333,0,0,0.010416667,0.008647799,0.001302083,0,0.005681818,0.001461988,0.017361111,0.001344086,0.024691358,0,0.006410256,0,0.001984127,0.008487654,0.001388889,0.005208333,0,0,0,0,0,0.023809524,0.008333333,0.008333333,0,0,0,0.009645062,0.00154321,0.001436782,0.003472222,0.010416667
Bacteria;Fusobacteria;Fusobacteriia,0.003306878,0.142045455,0.019927536,0.029411765,0.002358491,0.020833333,0.020833333,0,0.03125,0,0.119496855,0.015625,0.068181818,0.03219697,0.001461988,0.069444444,0.301075269,0.102623457,0.017857143,0.113782051,0.11,0.001984127,0.053240741,0.260416667,0.010416667,0.017857143,0,0,0.026960784,0,0.007936508,0,0.016666667,0.076754386,0.034722222,0.027777778,0.129243827,1.175925926,0.004310345,0.122222222,0.08912037
Bacteria;Gemmatimonadetes;Gemmatimonadetes,0.002645503,0.018939394,0.048007246,0.004901961,0,0.005555556,0,0.097222222,0.208333333,0,0.149371069,0,0,0,0.012426901,0,0,0,0,0,0,0,0,0.003472222,0.036458333,0,0.053571429,0,0.056372549,0,0,0.141666667,0.008333333,0.252192982,0.041666667,0.092592593,0.00462963,0.007716049,0.014367816,0.005555556,0
Bacteria;Hydrogenedentes;CandidatusHydrogenedens,0.002645503,0,0,0,0.001572327,0.000694444,0.072916667,0,0.0625,0,0.000786164,0,0,0,0.005116959,0.006944444,0.001344086,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0.009259259,0,0.002873563,0.001388889,0
Bacteria;Ignavibacteriae;Ignavibacteria,0.014550265,0,0.000905797,0.004901961,0.003144654,0.004166667,0.010416667,0,0,0,0.126572327,0.001302083,0,0,0.004385965,0.017361111,0.018817204,0.00308642,0.029761905,0,0.001666667,0,0.00154321,0,0,0,0,0,0,0,0,0.008333333,0,0.010964912,0,0,0.010416667,0.000771605,0.001436782,0.008333333,0
Bacteria;Latescibacteria;Latescibacteria_genera_incertae_sedis,0.003968254,0,0,0,0,0.001388889,0,0,0,0,0,0.001302083,0,0,0.003654971,0.017361111,0,0,0,0.006410256,0,0,0.00462963,0.00625,0,0,0.011904762,0,0,0,0,0,0,0,0,0,0.004243827,0,0.002873563,0,0
Bacteria;Lentisphaerae;Lentisphaeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003858025,0,0,0
Bacteria;Lentisphaerae;Oligosphaeria,0.000661376,0,0,0,0,0.000694444,0,0,0,0,0,0,0,0,0.000730994,0,0,0,0,0,0,0,0.000771605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000771605,0,0.004166667,0
Bacteria;Lentisphaerae;__,0,0,0,0,0,0,0,0,0,0,0.004716981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Lentisphaerae;unclassified_Lentisphaerae,0,0,0,0,0,0,0,0,0,0,0.010220126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Microgenomates;Microgenomates_genera_incertae_sedis,0,0,0,0,0.001572327,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001984127,0,0,0.002192982,0,0.013888889,0,0,0,0,0
Bacteria;Nitrospirae;Nitrospira,0,0,0,0,0,0,0,0,0.010416667,0,0.212264151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.017857143,0,0,0.00245098,0.013888889,0,0,0,0.059210526,0,0,0,0,0,0,0
Bacteria;Omnitrophica;Omnitrophica_genera_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0.000786164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Parcubacteria;Parcubacteria_genera_incertae_sedis,0.008597884,0,0.000905797,0,0.006289308,0.027083333,0,0.083333333,0.229166667,0,0.172169811,0.009114583,0,0,0.013888889,0,0.002688172,0.000771605,0,0.008012821,0,0.007936508,0,0.049305556,0.005208333,0.029761905,0.023809524,0.027777778,0.00245098,0,0.003968254,0.041666667,0,0.414473684,0.076388889,0.259259259,0.005787037,0.013117284,0.00862069,0,0.002314815
Bacteria;Planctomycetes;Phycisphaerae,0.005952381,0,0,0.014705882,0.003144654,0.015277778,0,0,0,0,0.062106918,0.00390625,0.003787879,0.001893939,0.019736842,0,0,0,0.005952381,0,0,0.005952381,0.000771605,0.013888889,0,0,0,0.013888889,0,0,0,0,0,0.083333333,0.013888889,0.013888889,0.001157407,0.008487654,0.028735632,0.002083333,0
Bacteria;Planctomycetes;Planctomycetia,0.738095238,1.5625,0.038949275,0.181372549,1.455188679,1.075694444,2.114583333,0.847222222,0.427083333,0.447916667,0.247641509,0.311197917,0.090909091,0.293560606,0.690789474,0.086805556,0.409946237,1.472222222,0.136904762,0.41025641,0.14,0.357142857,0.299382716,2.565972222,1.848958333,1.06547619,1.011904762,2.069444444,1.473039216,3.180555556,0.950396825,2.85,1.266666667,1.076754386,1.208333333,1.296296296,1.527006173,0.351080247,0.765804598,0.21875,2.003472222
Bacteria;Planctomycetes;__,0.037037037,0.049242424,0.001811594,0.004901961,0.120283019,0.072916667,0.114583333,0,0,0.005208333,0.014150943,0,0,0,0.041666667,0,0.004032258,0.041666667,0.011904762,0.016025641,0.005,0.011904762,0.020833333,0.115277778,0,0.005952381,0.005952381,0.083333333,0.039215686,0.083333333,0.033730159,0,0.05,0.01754386,0.027777778,0.00462963,0.044367284,0.008487654,0.018678161,0.004166667,0.048611111
Bacteria;Planctomycetes;unclassified_Planctomycetes,0.003968254,0,0,0,0.003930818,0.032638889,0.010416667,0,0,0,0,0,0,0,0.020467836,0,0,0.008487654,0,0.004807692,0,0,0,0.031944444,0,0,0.005952381,0.027777778,0.00245098,0,0.003968254,0,0,0,0.076388889,0,0.040123457,0,0.020114943,0.004861111,0.003472222
Bacteria;Proteobacteria;Alphaproteobacteria,5.767857143,2.990530303,14.55978261,7.134803922,14.22484277,15.30972222,64.19791667,7.916666667,20.07291667,7.802083333,5.376572327,6.837239583,4.549242424,6.056818182,17.44152047,6.465277778,6.923387097,12.24768519,4.803571429,6.570512821,5.466666667,8.029761905,12.02700617,12.67847222,6.171875,6.607142857,4.892857143,17.29166667,2.857843137,8.027777778,10.0515873,5.866666667,15.575,11.88596491,10.51388889,8.597222222,14.45100309,6.537808642,15.82183908,3.146527778,9.290509259
Bacteria;Proteobacteria;Betaproteobacteria,33.50066138,7.767045455,14.64855072,8.267156863,21.19418239,4.377777778,1.729166667,3.5,4.46875,34.671875,25.84355346,16.20182292,4.231060606,2.28030303,4.820906433,5.291666667,3.922043011,9.560185185,5.339285714,9.508012821,8.715,25.06349206,6.839506173,6.543055556,1.875,1.458333333,1.880952381,14.18055556,1.237745098,1.277777778,22.20833333,1.083333333,21.4,7.666666667,2.8125,5.175925926,6.573302469,15.2191358,4.682471264,8.131944444,7.200231481
Bacteria;Proteobacteria;Deltaproteobacteria,1.123677249,0.479166667,0.104166667,0.433823529,1.324685535,3.002777778,0.333333333,0.472222222,0.302083333,0.6875,1.283018868,0.653645833,1.162878788,0.081439394,2.154239766,1.288194444,0.423387097,0.981481481,0.773809524,0.6875,0.838333333,0.642857143,1.336419753,1.540277778,0.145833333,0.589285714,1.202380952,2.847222222,0.460784314,1.236111111,1.013888889,0.583333333,1.783333333,1.609649123,1,0.699074074,1.757716049,1.606481481,2.114942529,0.457638889,0.950231481
