,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae,0.001984127,0,0,0,0.003930818,0.011111111,0,0,0,0,0,0.005208333,0.007575758,0.001893939,0.004385965,0.006944444,0.001344086,0,0,0.006410256,0.005,0.001984127,0.00617284,0.002083333,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0.00462963,0.014367816,0.000694444,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae,0.017195767,0.018939394,0,0.007352941,0.008647799,0.007638889,0,0,0,0.015625,0.017295597,0.002604167,0.011363636,0.017045455,0.019005848,0.041666667,0.016129032,0.005401235,0.041666667,0.038461538,0.01,0,0.010802469,0.014583333,0.020833333,0,0.011904762,0,0,0,0.01984127,0,0,0,0,0,0.021219136,0.008487654,0.018678161,0.016666667,0.010416667
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae,0,0,0,0,0,0,0,0,0,0,0.022798742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;__,0,0,0,0,0,0,0,0,0,0,0.005503145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694444,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae,0,0,0,0,0,0,0,0,0,0,0.007861635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae,0.009259259,0.020833333,0.014492754,0.007352941,0.002358491,0.013194444,0,0,0,0,0.001572327,0.01953125,0,0.001893939,0.083333333,0,0.116935484,0.333333333,0.089285714,0.033653846,0.013333333,0.001984127,0.008487654,0.023611111,0,0,0.238095238,0,0,0,0.011904762,0.008333333,0.016666667,0,0,0,0.095679012,0.005401235,0.002873563,0.049305556,0.200231481
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;__,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae,0.000661376,0,0,0,0,0,0,0,0,0.005208333,0,0,0,0,0,0,0,0,0,0,0,0,0.00617284,0,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae,0.130291005,0,0,0,0,0.00625,0,0,0,0,0,0.018229167,0.034090909,0.003787879,0.011695906,0.027777778,0.009408602,0,0,0.020833333,0.01,0,0.013888889,0.001388889,0,0,0,0,0,0,0,0,0,0.028508772,0,0,0.009259259,0.084104938,0.002873563,0.020138889,0
