,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Acidobacteria;Acidobacteria_Gp5;Gp5;,52,22,46,16,48,39,4,2,4,8,52,32,8,22,46,5,29,53,7,25,18,20,39,48,8,7,5,1,15,2,21,5,5,13,5,8,49,51,24,57,35
Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6;,20,22,43,13,23,16,4,2,1,2,46,23,11,19,16,12,20,42,3,14,25,11,51,32,8,7,6,0,16,2,11,4,1,4,6,4,21,37,10,44,18
Bacteria;Acidobacteria;Acidobacteria_Gp7;Gp7;,49,22,46,16,50,44,3,3,3,8,53,32,7,21,48,8,28,53,7,23,20,20,43,53,6,7,6,2,15,3,21,4,4,15,6,8,47,51,25,58,31
Bacteria;Acidobacteria;Acidobacteria_Gp9;Gp9;,60,22,46,17,53,59,4,3,4,8,53,32,11,22,56,12,31,54,7,25,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,28,60,36
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae,27,21,45,16,49,57,4,3,4,5,36,27,8,19,56,9,30,50,5,23,22,18,42,58,8,7,7,2,17,3,21,5,3,16,6,8,53,33,29,37,33
Bacteria;Acidobacteria;__;__;__,40,22,43,17,43,43,4,2,1,7,17,31,10,21,44,12,29,46,7,23,23,16,51,49,8,5,4,2,14,3,19,4,3,8,6,9,42,51,18,52,26
Bacteria;Acidobacteria;unclassified_Acidobacteria;;__,60,22,46,17,53,60,4,3,4,8,44,32,11,22,57,12,31,54,7,26,25,21,54,60,6,3,3,3,12,2,21,3,5,19,5,9,60,54,29,60,36
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobidae;Acidimicrobiales,41,16,45,15,35,10,0,1,0,6,11,24,1,10,21,1,29,42,7,18,6,18,15,51,5,5,5,0,15,2,17,3,1,0,3,0,27,43,9,44,27
Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Bifidobacteriales,60,22,46,17,53,60,4,2,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,6,3,17,3,21,5,5,15,6,9,60,54,29,60,36
Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,6,3,16,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Actinobacteria;Actinobacteria;Coriobacteridae;Coriobacteriales,44,21,44,13,52,57,3,3,3,7,47,28,11,21,54,11,7,45,7,18,23,21,48,58,8,6,7,3,17,3,21,4,5,16,6,8,33,44,28,33,27
Bacteria;Actinobacteria;Actinobacteria;Nitriliruptoridae;Euzebyales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,28,60,36
Bacteria;Actinobacteria;Actinobacteria;Nitriliruptoridae;unclassified_Nitriliruptoridae,60,22,45,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Actinobacteria;Actinobacteria;Rubrobacteridae;Gaiellales,60,22,46,17,53,60,4,1,1,8,46,32,11,22,57,12,31,54,7,26,25,21,54,60,7,7,6,3,16,3,21,5,5,4,6,3,60,54,29,60,36
Bacteria;Actinobacteria;Actinobacteria;Rubrobacteridae;Rubrobacterales,58,22,46,17,53,52,4,3,4,8,49,32,11,22,54,12,31,54,7,25,25,21,53,44,4,5,5,3,14,3,21,3,5,14,4,9,60,53,29,60,36
Bacteria;Actinobacteria;Actinobacteria;Rubrobacteridae;Solirubrobacterales,24,13,43,13,4,0,4,1,1,0,35,29,4,15,2,4,18,25,4,9,5,3,13,24,3,2,2,0,9,1,2,2,0,1,3,0,17,31,2,40,8
Bacteria;Actinobacteria;Actinobacteria;Rubrobacteridae;__,60,22,44,17,51,50,4,2,4,8,48,32,11,22,51,8,30,54,7,26,20,21,51,59,5,5,5,3,16,2,20,3,5,14,6,8,59,52,26,60,36
Bacteria;Actinobacteria;Actinobacteria;Rubrobacteridae;unclassified_Rubrobacteridae,56,22,46,16,51,40,4,3,4,8,53,32,10,21,48,11,28,53,7,25,18,21,50,59,8,6,7,2,16,3,21,4,4,14,5,9,56,50,20,59,36
Bacteria;Actinobacteria;Actinobacteria;__;__,39,22,43,12,38,23,2,3,3,7,39,26,7,13,23,4,25,42,6,22,8,17,18,47,2,2,2,1,12,1,18,2,1,12,0,7,31,27,12,47,31
Bacteria;Actinobacteria;Actinobacteria;unclassified_Actinobacteria;,60,22,45,17,53,57,4,3,4,8,53,32,11,22,54,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,53,28,59,36
Bacteria;Actinobacteria;Thermoleophilia;Thermoleophilales;Thermoleophilaceae,60,22,46,17,52,49,4,3,2,8,53,32,10,22,53,11,31,54,7,26,25,21,52,59,8,7,6,3,17,3,21,4,5,19,6,9,57,51,24,60,36
Bacteria;Actinobacteria;__;__;__,42,14,45,14,30,5,2,2,3,5,53,27,3,13,14,3,24,46,5,18,7,16,16,34,4,4,5,0,14,2,16,3,5,16,4,7,34,41,7,52,32
Bacteria;Actinobacteria;unclassified_Actinobacteria;;__,58,22,46,17,49,32,2,3,4,8,53,32,10,22,43,12,31,51,7,26,24,20,47,58,8,7,6,1,17,3,19,4,2,18,6,8,52,48,20,57,34
Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae,59,21,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Aquificae;Aquificae;Aquificales;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,5,7,5,3,13,1,21,4,5,19,4,9,60,54,29,60,36
Bacteria;Aquificae;Aquificae;__;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,60,36
Bacteria;Armatimonadetes;Armatimonadetes_gp2;;__,59,22,46,17,53,60,4,3,4,8,49,31,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,59,36
Bacteria;Armatimonadetes;Armatimonadetes_gp4;;__,58,22,46,17,51,52,4,3,3,8,52,31,11,22,52,12,31,53,7,26,24,19,53,60,8,7,6,2,17,3,21,5,5,19,6,9,57,53,25,60,34
Bacteria;Armatimonadetes;Armatimonadetes_gp5;;__,17,22,46,17,44,51,4,1,3,6,48,20,10,13,46,11,27,39,6,20,23,19,52,48,8,4,4,2,16,2,13,5,2,11,5,5,43,31,26,49,20
Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae,48,22,45,16,35,39,4,1,4,5,11,28,7,20,44,8,29,41,7,25,13,19,36,50,7,6,6,1,17,3,20,2,5,7,1,3,31,26,20,53,32
Bacteria;Armatimonadetes;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae,57,22,46,16,49,60,4,1,4,8,53,32,11,22,57,11,31,54,7,26,25,21,53,59,7,6,7,3,17,3,21,4,5,11,5,4,58,54,28,59,35
Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae,56,22,46,17,42,43,4,3,4,8,52,32,11,22,44,11,31,54,7,26,24,15,50,57,7,6,6,1,15,3,17,5,4,19,4,9,56,49,23,60,36
Bacteria;Armatimonadetes;__;__;__,58,22,44,17,45,58,3,2,4,7,29,32,11,22,57,12,31,53,7,24,25,21,50,56,8,6,7,3,17,2,18,4,5,16,5,7,59,53,29,60,34
Bacteria;Armatimonadetes;unclassified_Armatimonadetes;;__,60,22,46,17,53,60,4,3,4,8,47,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;BRC1;BRC1_genera_incertae_sedis;;__,60,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,6,3,17,3,21,5,5,16,6,9,60,54,29,60,36
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae,46,22,44,9,47,52,2,3,4,7,53,21,8,9,49,10,2,18,1,4,12,20,41,50,8,7,3,3,17,3,18,4,3,19,4,7,31,22,21,7,11
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae,59,22,44,17,53,60,4,3,4,8,45,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae,39,15,42,7,35,54,0,2,3,3,47,11,5,10,47,5,10,19,3,7,6,16,27,36,7,6,4,2,9,3,14,4,2,14,4,4,31,15,23,13,16
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae,57,18,45,15,51,60,0,3,4,7,51,29,11,22,56,12,29,49,5,21,25,21,52,51,8,7,6,2,15,2,19,5,5,15,4,6,53,54,28,45,32
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae,28,8,46,14,39,49,3,3,4,7,14,24,9,21,48,9,28,45,4,16,18,21,45,55,8,7,6,3,16,3,19,5,3,18,4,9,42,28,22,41,32
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae,54,22,44,13,49,58,2,3,4,8,53,28,11,18,54,12,12,31,5,19,21,20,50,60,8,6,5,3,16,3,19,4,4,18,5,8,45,51,28,37,22
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;__,53,19,41,14,49,54,1,3,4,8,1,32,8,20,55,9,22,50,7,24,21,21,43,58,8,7,5,3,17,3,19,5,4,14,6,7,48,32,27,45,36
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;unclassified_Bacteroidales,60,22,46,16,52,60,4,3,4,8,16,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,4,19,6,8,60,54,29,60,36
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Catalimonadaceae,60,22,46,17,52,57,4,3,4,8,53,32,11,22,56,12,30,54,7,26,25,19,54,60,8,7,7,2,17,3,21,5,5,19,6,9,59,54,27,60,36
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Chryseolinea,60,22,46,17,53,60,4,2,2,8,50,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,7,6,5,60,54,29,60,36
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae,60,22,46,17,53,60,4,3,4,8,41,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
