"","Ambystoma altamirani","Ambystoma mexicanum","Ambystoma rivulare","Andrias japonicus","Aquiloeurycea cafetalera","Batrachoseps attenuatus","Batrachuperus tibetanus","Bolitoglossa franklini","Bolitoglossa lincolni","Chiropterotriton nubilus","Cryptobranchus alleganiensis","Cynops pyrrhogaster","Desmognathus monticola","Echinotriton andersoni","Ensatina eschscholtzii","Eurycea bislineata","Ichthyosaura alpestris","Lissotriton boscai","Lissotriton helveticus","Lissotriton vulgaris","Notophthalmus viridescens","Parvimolge townsendi","Plethodon cinereus","Plethodon glutinosus","Pseudoeurycea altamontana","Aquiloeurycea cephalica","Pseudoeurycea gadovii","Pseudoeurycea granitum","Pseudoeurycea leprosa","Pseudoeurycea longicauda","Pseudoeurycea lynchi","Pseudoeurycea melanomolga","Pseudoeurycea nigromaculata","Pseudoeurycea rex","Pseudoeurycea robertsi","Pseudoeurycea sp","Salamandra salamandra","Taricha granulosa","Taricha torosa","Triturus cristatus","Triturus marmoratus"
"Cryptobranchus alleganiensis",0.347906506311082,0.471270386061031,0.577102710690903,0.489450886888088,0.454836858459009,0.599054993612319,0.745666003822715,0.644953884916639,0.627973207458139,0.445103532547619,0,0.361929145902687,0.723333079277391,0.653599402859636,0.594023116639507,0.67663501115322,0.599439702405845,0.480819264176446,0.580753673451173,0.489390928896728,0.64517637164101,0.449344602196663,0.627534370818881,0.566583780555798,0.585386690834411,0.664130039669369,0.590999646645407,0.522409758173179,0.696403128659673,0.653454963433119,0.465228079559484,0.606812863766716,0.431593737875785,0.568138170442771,0.589305060769926,0.586954847492248,0.498958310180891,0.387193983299571,0.627957349267263,0.531575025451035,0.562523393745645
"Cynops pyrrhogaster",0.22347330963794,0.464718972602991,0.287360394521456,0.197242000554058,0.251319185375775,0.294579667101623,0.622933915174702,0.44294523075458,0.564395785684826,0.295415683962264,0.361929145902687,0,0.45189313030158,0.385791732010795,0.2904008449736,0.399107715060389,0.274143754504207,0.230380591714287,0.300863166770252,0.169594082626736,0.376682666515747,0.292263162833824,0.317614376804166,0.286377651391645,0.549230009428456,0.360126732106384,0.520328274565563,0.232058054259193,0.546125420071676,0.394186180201587,0.273690747404206,0.61276952917743,0.239208119359446,0.379519667853967,0.456562553336747,0.398182003841003,0.223881987252614,0.137024387506969,0.313086403991723,0.205789859360746,0.225553936012919
"Desmognathus monticola",0.508315679777332,0.720246562351826,0.319757189865573,0.387789900318206,0.402562763393544,0.443805670169467,0.713201455799637,0.514727633193819,0.64004810212451,0.372620647495724,0.723333079277391,0.45189313030158,0,0.546402471921134,0.453093540383081,0.0571718432189014,0.36290289175965,0.487541490338926,0.347791524836428,0.388714731021907,0.0760621331669354,0.277558719899143,0.224154134079132,0.435275253602376,0.614390502007741,0.429402287390453,0.57494538863154,0.450835541763357,0.578360056181678,0.507967659688674,0.353225073651064,0.664432707862445,0.462024594836713,0.49689549147463,0.559229076404649,0.536553745268239,0.473499640679614,0.511929434775289,0.379565723203721,0.363939664857819,0.400659788517344
"Echinotriton andersoni",0.535585084000833,0.449498179350309,0.526772157779844,0.349878245344612,0.520378036082485,0.371470334658648,0.671352901350113,0.519677574159114,0.653119248665538,0.55394912458798,0.653599402859636,0.385791732010795,0.546402471921134,0,0.356914718618085,0.51605899282231,0.249112160389901,0.385786598103808,0.293915426906046,0.324503681283245,0.544112552529455,0.543327974539422,0.487947818855842,0.405848565441097,0.594087256027555,0.387072689933987,0.515876106704012,0.4776123981336,0.584468150187962,0.487659786743157,0.493265947882215,0.600670925536754,0.494065440871736,0.485073825060784,0.483920987275663,0.531109911335432,0.34141001050174,0.409086060544765,0.410389223895547,0.330989519686797,0.382471528202845
"Ensatina eschscholtzii",0.373627946378116,0.517812933792618,0.31805422872807,0.308923019475268,0.28314477401386,0.0540549087446817,0.529622534339583,0.418421740013737,0.438509593874724,0.424016625326,0.594023116639507,0.2904008449736,0.453093540383081,0.356914718618085,0,0.404252489150117,0.350834837906895,0.257119472258468,0.343927880544162,0.30427654480325,0.441221509462218,0.405307245133517,0.284797885228622,0.202913125450188,0.50623973479997,0.283444681749766,0.432763165273961,0.181565368893654,0.53186930797912,0.381038678610262,0.304911873789319,0.507488532472134,0.25117379827385,0.297663970451135,0.320401458689943,0.405683797457442,0.154186752937534,0.33709037464221,0.0973944213000904,0.347794276683106,0.209356259721144
"Eurycea bislineata",0.462056948966023,0.686433614054793,0.283653057181266,0.337739986361616,0.352160397766519,0.398635073878659,0.684107416785259,0.486075122482308,0.610772172646148,0.33531016486775,0.67663501115322,0.399107715060389,0.0571718432189014,0.51605899282231,0.404252489150117,0,0.323645296394635,0.435272320967979,0.314945984030061,0.337462401807382,0.0514998500259444,0.235758822779641,0.171032155205451,0.379562749903263,0.579196914092845,0.398449560708868,0.562919592112652,0.395204009948926,0.577150533230673,0.469961217807297,0.311424982157107,0.635584527832303,0.419063526320728,0.448867855765828,0.519676229020355,0.486852417760201,0.419096255029403,0.456646151474782,0.33127029267393,0.332881259708413,0.349378912078755
"Ichthyosaura alpestris",0.435495925804707,0.447710223693732,0.314018952210825,0.158191680391669,0.354870974222232,0.347000609966694,0.645860968442663,0.491478856414749,0.60864336095002,0.342935157358767,0.599439702405845,0.274143754504207,0.36290289175965,0.249112160389901,0.350834837906895,0.323645296394635,0,0.34431488053633,0.12002847546039,0.152867670070094,0.336815691503632,0.336012812126897,0.275168037275744,0.370753529380746,0.59506302797442,0.409588672070135,0.553935802746497,0.368566490533895,0.58065144259866,0.454839101396478,0.32763501656172,0.651524788681121,0.432058849440578,0.479994607443382,0.509426678621239,0.479996957355077,0.308757731259679,0.342701625548049,0.298632920129646,0.132211870758976,0.306059185129106
"Lissotriton boscai",0.390101155305147,0.45428189784782,0.328558570917956,0.300858230122671,0.294817297202598,0.256605132251887,0.546343865626747,0.373792971794913,0.46182136066126,0.412315161539816,0.480819264176446,0.230380591714287,0.487541490338926,0.385786598103808,0.257119472258468,0.435272320967979,0.34431488053633,0,0.385251004657326,0.244197680571951,0.426829065541446,0.402694178496342,0.305046039840053,0.185035201058054,0.479327596557935,0.334339006803422,0.430432534895744,0.2504853127241,0.480042014871732,0.343100258971513,0.339890411963287,0.543165128308503,0.246868107332783,0.253193655355621,0.337124070596632,0.341300457138658,0.139959683527342,0.220165751143606,0.288228084330597,0.285866588265853,0.174558921049436
"Lissotriton helveticus",0.422527586878121,0.367894722382483,0.321786445022372,0.132666867257413,0.383096209761611,0.358950714842853,0.670971519656479,0.542610682515436,0.63832639525859,0.372175064716152,0.580753673451173,0.300863166770252,0.347791524836428,0.293915426906046,0.343927880544162,0.314945984030061,0.12002847546039,0.385251004657326,0,0.156346775510204,0.321660030022202,0.340595032143696,0.274830186544595,0.404585988620073,0.657651101195447,0.465557899962765,0.609289495929172,0.399230812106348,0.613443820819655,0.507401462457642,0.35619727449708,0.708781943183292,0.458722448035425,0.507293155596637,0.56954238982025,0.510441385856668,0.357616424580053,0.36831082222448,0.31690781601355,0.14772793761119,0.345928274485473
"Lissotriton vulgaris",0.3318578621881,0.368899055383461,0.294978707310428,0.0695131298292905,0.273285143915335,0.305312553657314,0.632280790036483,0.462153736528013,0.555773465648342,0.318649800626381,0.489390928896728,0.169594082626736,0.388714731021907,0.324503681283245,0.30427654480325,0.337462401807382,0.152867670070094,0.244197680571951,0.156346775510204,0,0.315977832785677,0.31285681729817,0.277348980831997,0.300459848506978,0.587859297018869,0.390784205723493,0.544639644350537,0.281713100634493,0.553393870048213,0.435974341655887,0.29856645187557,0.636307171528172,0.330269850691749,0.398859200821417,0.493109191010796,0.422868397072224,0.261773833899301,0.238034062493283,0.252334686251216,0.0851218474503074,0.243660954756042
